segment_id,track_id,scene_block,start_frame,end_frame,frame_count,sample_images,team_id
1_0_206_529,1,0,206,529,315,1_0_206_529_frame_206.jpg;1_0_206_529_frame_371.jpg;1_0_206_529_frame_529.jpg,team_blue
2_0_1_406,2,0,1,406,404,2_0_1_406_frame_1.jpg;2_0_1_406_frame_204.jpg;2_0_1_406_frame_406.jpg,team_blue
3_0_1_421,3,0,1,421,413,3_0_1_421_frame_1.jpg;3_0_1_421_frame_214.jpg;3_0_1_421_frame_421.jpg,team_blue
4_0_1_232,4,0,1,232,225,4_0_1_232_frame_1.jpg;4_0_1_232_frame_113.jpg;4_0_1_232_frame_232.jpg,team_blue
5_0_1_138,5,0,1,138,137,5_0_1_138_frame_1.jpg;5_0_1_138_frame_69.jpg;5_0_1_138_frame_138.jpg,unknown
10_0_5_226,10,0,5,226,220,10_0_5_226_frame_5.jpg;10_0_5_226_frame_114.jpg;10_0_5_226_frame_226.jpg,team_blue
66_0_143_295,66,0,143,295,148,66_0_143_295_frame_143.jpg;66_0_143_295_frame_216.jpg;66_0_143_295_frame_295.jpg,team_white
66_0_326_529,66,0,326,529,204,66_0_326_529_frame_326.jpg;66_0_326_529_frame_427.jpg;66_0_326_529_frame_529.jpg,team_white
138_0_236_392,138,0,236,392,155,138_0_236_392_frame_236.jpg;138_0_236_392_frame_313.jpg;138_0_236_392_frame_392.jpg,team_blue
145_0_241_529,145,0,241,529,281,145_0_241_529_frame_241.jpg;145_0_241_529_frame_381.jpg;145_0_241_529_frame_529.jpg,unknown
145_0_640_1250,145,0,640,1250,595,145_0_640_1250_frame_640.jpg;145_0_640_1250_frame_953.jpg;145_0_640_1250_frame_1250.jpg,team_white
167_0_262_266,167,0,262,266,5,167_0_262_266_frame_262.jpg;167_0_262_266_frame_264.jpg;167_0_262_266_frame_266.jpg,unknown
179_0_430_494,179,0,430,494,51,179_0_430_494_frame_430.jpg;179_0_430_494_frame_455.jpg;179_0_430_494_frame_494.jpg,unknown
267_0_387_410,267,0,387,410,21,267_0_387_410_frame_387.jpg;267_0_387_410_frame_398.jpg;267_0_387_410_frame_410.jpg,unknown
280_0_404_529,280,0,404,529,126,280_0_404_529_frame_404.jpg;280_0_404_529_frame_466.jpg;280_0_404_529_frame_529.jpg,unknown
285_0_408_529,285,0,408,529,116,285_0_408_529_frame_408.jpg;285_0_408_529_frame_471.jpg;285_0_408_529_frame_529.jpg,team_blue
294_0_418_529,294,0,418,529,112,294_0_418_529_frame_418.jpg;294_0_418_529_frame_473.jpg;294_0_418_529_frame_529.jpg,team_white
352_0_513_529,352,0,513,529,9,352_0_513_529_frame_513.jpg;352_0_513_529_frame_520.jpg;352_0_513_529_frame_529.jpg,unknown
353_0_531_831,353,0,531,831,294,353_0_531_831_frame_531.jpg;353_0_531_831_frame_679.jpg;353_0_531_831_frame_831.jpg,team_blue
354_0_531_909,354,0,531,909,377,354_0_531_909_frame_531.jpg;354_0_531_909_frame_719.jpg;354_0_531_909_frame_909.jpg,team_white
355_0_531_877,355,0,531,877,346,355_0_531_877_frame_531.jpg;355_0_531_877_frame_703.jpg;355_0_531_877_frame_877.jpg,team_blue
355_0_892_924,355,0,892,924,33,355_0_892_924_frame_892.jpg;355_0_892_924_frame_908.jpg;355_0_892_924_frame_924.jpg,team_white
356_0_531_712,356,0,531,712,176,356_0_531_712_frame_531.jpg;356_0_531_712_frame_623.jpg;356_0_531_712_frame_712.jpg,team_white
357_0_531_891,357,0,531,891,360,357_0_531_891_frame_531.jpg;357_0_531_891_frame_711.jpg;357_0_531_891_frame_891.jpg,team_white
357_0_941_1214,357,0,941,1214,270,357_0_941_1214_frame_941.jpg;357_0_941_1214_frame_1075.jpg;357_0_941_1214_frame_1214.jpg,team_blue
362_0_695_735,362,0,695,735,41,362_0_695_735_frame_695.jpg;362_0_695_735_frame_715.jpg;362_0_695_735_frame_735.jpg,unknown
460_0_708_942,460,0,708,942,235,460_0_708_942_frame_708.jpg;460_0_708_942_frame_825.jpg;460_0_708_942_frame_942.jpg,team_blue
516_0_789_794,516,0,789,794,6,516_0_789_794_frame_789.jpg;516_0_789_794_frame_791.jpg;516_0_789_794_frame_794.jpg,team_blue
548_0_827_831,548,0,827,831,5,548_0_827_831_frame_827.jpg;548_0_827_831_frame_829.jpg;548_0_827_831_frame_831.jpg,unknown
