segment_id,track_id,start_frame,end_frame,team_id,mean_S,mean_V,frames
5_1_138,5,1,138,team_white,52.8,128.2,138
267_387_410,267,387,410,team_blue,76.6,70.3,24
179_430_494,179,430,494,team_blue,128.1,60.1,65
145_241_529,145,241,529,team_white,72.6,151.8,289
280_404_529,280,404,529,team_white,35.4,134.6,126
362_695_735,362,695,735,team_blue,86.9,55.3,41
549_828_862,549,828,862,team_white,29.2,139.3,35
589_891_927,589,891,927,team_white,57.0,120.6,37
573_857_944,573,857,944,team_white,33.0,160.3,88
594_914_1186,594,914,1186,team_white,28.9,149.2,273
584_1133_1381,584,1133,1381,team_blue,91.5,74.2,249
854_1353_1391,854,1353,1391,team_white,54.2,133.7,39
821_1252_1406,821,1252,1406,team_white,34.9,149.3,155
935_1454_1512,935,1454,1512,team_blue,78.7,90.2,59
1160_1808_1839,1160,1808,1839,team_white,66.8,137.7,32
1129_1843_1868,1129,1843,1868,team_blue,88.6,60.0,26
1248_1941_1983,1248,1941,1983,team_blue,75.6,72.2,43
897_1406_1993,897,1406,1993,team_white,40.1,147.8,588
1288_2015_2064,1288,2015,2064,team_blue,66.1,76.5,50
1311_2053_2185,1311,2053,2185,team_white,42.0,143.6,133
1129_2120_2204,1129,2120,2204,team_blue,116.8,59.5,85
1358_2125_2241,1358,2125,2241,team_blue,121.7,123.1,117
1424_2253_2339,1424,2253,2339,team_blue,84.3,141.2,87
1472_2341_2381,1472,2341,2381,team_white,44.7,151.6,41
1431_2278_2402,1431,2278,2402,team_blue,135.8,113.1,125
1513_2402_2514,1513,2402,2514,team_blue,137.8,144.0,113
1113_1739_2562,1113,1739,2562,team_white,41.2,145.7,824
1645_2540_2570,1645,2540,2570,team_blue,142.1,62.6,31
1497_2374_2608,1497,2374,2608,team_white,39.4,165.6,235
1398_2191_2620,1398,2191,2620,team_white,38.4,144.0,430
1579_2534_2620,1579,2534,2620,team_blue,162.9,116.6,87
1656_2579_2620,1656,2579,2620,team_white,37.1,171.2,42
1658_2584_2620,1658,2584,2620,team_white,79.4,126.6,37
1570_2601_2620,1570,2601,2620,team_blue,120.5,56.9,20
1670_2609_2636,1670,2609,2636,team_white,49.6,162.4,28
1693_2629_2658,1693,2629,2658,team_blue,95.1,126.0,30
1656_2659_2676,1656,2659,2676,team_blue,112.5,121.8,18
1684_2622_2688,1684,2622,2688,team_blue,95.1,122.7,67
1724_2676_2716,1724,2676,2716,team_blue,109.8,119.7,41
1681_2622_2717,1681,2622,2717,team_white,31.1,164.4,96
1687_2738_2770,1687,2738,2770,team_blue,109.0,58.7,33
1702_2638_2778,1702,2638,2778,team_white,39.9,162.0,141
1736_2696_2782,1736,2696,2782,team_blue,96.9,111.1,87
1800_2782_2821,1800,2782,2821,team_blue,95.4,112.1,40
1682_2622_2878,1682,2622,2878,team_white,29.4,187.6,257
1840_2834_2891,1840,2834,2891,team_white,28.9,160.8,58
1497_2621_2896,1497,2621,2896,team_blue,96.0,119.0,276
1658_2717_2915,1658,2717,2915,team_blue,107.2,106.2,199
1916_2911_2964,1916,2911,2964,team_blue,84.2,111.5,54
1682_2890_2976,1682,2890,2976,team_white,26.7,158.4,87
1658_2968_3008,1658,2968,3008,team_blue,112.6,113.5,41
1884_2881_3024,1884,2881,3024,team_white,32.0,152.9,144
1858_3014_3029,1858,3014,3029,team_blue,96.1,72.8,16
1934_2962_3037,1934,2962,3037,team_white,38.7,155.0,76
1957_3025_3058,1957,3025,3058,team_white,58.8,116.5,34
1758_2731_3065,1758,2731,3065,team_white,38.0,155.5,335
1793_2776_3065,1793,2776,3065,team_blue,83.5,132.7,290
1975_3027_3065,1975,3027,3065,team_white,34.3,159.8,39
1983_3032_3065,1983,3032,3065,team_blue,92.0,71.5,34
1997_3045_3065,1997,3045,3065,team_blue,120.5,96.0,21
2041_3092_3110,2041,3092,3110,team_white,45.4,106.8,19
2056_3122_3152,2056,3122,3152,team_white,52.0,143.8,31
2072_3134_3157,2072,3134,3157,team_white,33.0,190.8,24
2017_3067_3174,2017,3067,3174,team_blue,96.5,120.0,108
2015_3067_3235,2015,3067,3235,team_white,79.7,135.4,169
2016_3067_3238,2016,3067,3238,team_blue,88.1,93.7,172
2012_3067_3307,2012,3067,3307,team_white,49.2,157.9,241
2013_3137_3314,2013,3137,3314,team_white,30.2,186.6,178
2204_3301_3370,2204,3301,3370,team_white,32.6,163.9,70
2280_3404_3419,2280,3404,3419,team_white,35.7,157.9,16
2014_3067_3425,2014,3067,3425,team_white,45.2,128.7,359
2107_3182_3439,2107,3182,3439,team_blue,114.4,133.2,258
2299_3430_3500,2299,3430,3500,team_blue,137.8,120.4,71
2317_3444_3581,2317,3444,3581,team_white,42.9,158.6,138
2102_3236_3593,2102,3236,3593,team_blue,143.0,113.6,358
2083_3243_3593,2083,3243,3593,team_blue,118.7,106.5,351
2214_3310_3593,2214,3310,3593,team_white,33.8,174.4,284
2296_3427_3593,2296,3427,3593,team_white,34.0,168.3,167
2381_3517_3593,2381,3517,3593,team_blue,96.4,111.8,77
2436_3595_3659,2436,3595,3659,team_blue,86.8,110.9,65
2459_3656_3682,2459,3656,3682,team_white,45.4,114.7,27
2434_3595_3706,2434,3595,3706,team_white,41.4,120.8,112
2436_3681_3716,2436,3681,3716,team_white,38.8,122.9,36
2438_3595_3720,2438,3595,3720,team_blue,87.8,119.3,126
2478_3696_3743,2478,3696,3743,team_white,75.6,126.7,48
2501_3747_3769,2501,3747,3769,team_blue,56.8,93.9,23
2467_3672_3864,2467,3672,3864,team_blue,84.6,121.7,193
2504_3752_3890,2504,3752,3890,team_blue,94.6,117.1,139
2437_3595_3970,2437,3595,3970,team_blue,115.6,105.2,376
2435_3595_3972,2435,3595,3972,team_white,57.3,127.1,378
2675_3970_3988,2675,3970,3988,team_blue,99.5,125.3,19
2617_3898_3991,2617,3898,3991,team_blue,106.8,120.8,94
2491_3722_4009,2491,3722,4009,team_blue,82.0,137.2,288
2433_3595_4034,2433,3595,4034,team_white,28.5,195.2,440
2591_3870_4034,2591,3870,4034,team_white,68.6,146.5,165
2437_3995_4034,2437,3995,4034,team_white,53.1,138.3,40
2698_3996_4034,2698,3996,4034,team_blue,114.7,97.2,39
2675_4004_4024,2675,4004,4024,team_blue,95.1,95.1,21
2673_4008_4034,2673,4008,4034,team_white,43.3,167.2,27
