track_id,start_frame,end_frame,team_id
1,206,529,team_blue
2,1,406,team_blue
3,1,421,team_blue
4,1,232,team_blue
5,1,138,unknown
10,5,226,team_blue
66,143,295,team_white
66,326,529,team_white
138,236,392,team_blue
145,241,529,unknown
145,640,1250,team_white
167,262,266,unknown
179,430,494,unknown
267,387,410,unknown
280,404,529,unknown
285,408,529,team_blue
294,418,529,team_white
352,513,529,unknown
353,531,831,team_blue
354,531,909,team_white
355,531,877,team_blue
355,892,924,team_white
356,531,712,team_white
357,531,891,team_white
357,941,1214,team_blue
362,695,735,unknown
460,708,942,team_blue
516,789,794,team_blue
548,827,831,unknown
549,828,862,unknown
573,857,944,unknown
584,1133,1381,unknown
586,925,939,team_white
589,891,927,unknown
594,914,1186,unknown
602,929,1087,team_blue
616,947,1143,team_white
617,947,952,team_white
626,954,1243,team_blue
632,960,967,unknown
718,1088,1120,team_blue
718,1142,1250,team_blue
721,1092,1104,team_blue
748,1149,1239,team_white
796,1209,1219,team_blue
796,1240,1250,team_white
796,1320,1325,unknown
799,1217,1250,team_white
811,1237,1250,team_blue
812,1236,1245,team_blue
819,1290,1542,team_blue
819,1557,1565,unknown
820,1252,2620,team_white
821,1252,1406,unknown
822,1252,1351,team_blue
823,1252,1413,team_white
835,1319,1323,unknown
839,1322,1327,unknown
854,1353,1391,unknown
854,1414,1472,team_white
854,1521,1529,team_blue
857,1363,1809,team_blue
858,1363,1375,unknown
897,1406,1993,unknown
897,2005,2037,team_white
904,1409,1461,team_blue
934,1453,1461,unknown
934,1476,1734,team_blue
935,1454,1512,unknown
957,1511,1520,team_blue
968,1522,1601,team_blue
968,1671,1719,team_blue
998,1547,1555,unknown
1008,1564,1818,team_white
1096,1719,1849,team_white
1096,1863,1883,team_white
1096,1896,1911,team_white
1109,1736,1741,team_white
1113,1739,2562,unknown
1113,2600,2607,team_blue
1129,1792,1796,unknown
1129,1843,1868,unknown
1129,2120,2204,unknown
1160,1808,1839,unknown
1169,1831,1837,team_blue
1172,1844,1862,team_blue
1172,1882,2423,team_blue
1172,2448,2620,team_blue
1174,1845,1977,team_blue
1188,1869,1898,team_blue
1228,1916,1965,team_white
1248,1941,1983,unknown
1248,2042,2059,team_blue
1248,2077,2123,team_blue
1266,1971,2042,team_blue
1280,1999,2005,team_white
1280,2061,2067,unknown
1282,1997,2006,unknown
1288,2015,2064,unknown
1299,2033,2043,team_blue
1307,2044,2275,team_white
1311,2053,2185,
1327,2082,2087,
1345,2107,2112,
1358,2125,2241,
1398,2191,2620,
1424,2253,2339,
1431,2278,2402,
1448,2311,2321,
1472,2341,2381,
1497,2374,2608,
1497,2621,2896,
1498,2375,2387,
1502,2375,2381,
1513,2402,2514,
1570,2601,2620,
1579,2534,2620,
1582,2498,2503,
1645,2540,2570,
1645,2581,2589,
1648,2567,2577,
1653,2563,2575,
1654,2564,2577,
1656,2579,2620,
1656,2659,2676,
1658,2584,2620,
1658,2717,2915,
1658,2968,3008,
1659,2588,2593,
1670,2609,2636,
1681,2622,2717,
1682,2622,2878,
1682,2890,2976,
1683,2622,2627,
1684,2622,2688,
1687,2738,2770,
1693,2629,2658,
1702,2638,2778,
1724,2676,2716,
1736,2696,2782,
1758,2731,3065,
1793,2776,3065,
1800,2782,2821,
1840,2834,2891,
1844,2836,2845,
1858,3014,3029,
1867,2864,2868,
1884,2881,3024,
1916,2911,2964,
1934,2962,3037,
1957,3004,3008,
1957,3025,3058,
1964,3019,3030,
1964,3049,3064,
1972,3049,3055,
1975,3027,3065,
1980,3030,3034,
1983,3032,3065,
1997,3045,3065,
2012,3067,3307,
2013,3067,3073,
2013,3137,3314,
2014,3067,3425,
2015,3067,3235,
2016,3067,3238,
2017,3067,3174,
2038,3087,3096,
2039,3088,3097,
2041,3092,3110,
2056,3122,3152,
2058,3122,3130,
2072,3134,3157,
2083,3158,3167,
2083,3243,3593,
2102,3236,3593,
2107,3182,3439,
2204,3301,3370,
2214,3310,3593,
2268,3422,3430,
2280,3404,3419,
2296,3427,3593,
2299,3430,3500,
2317,3444,3581,
2381,3517,3593,
2430,3588,3593,
2433,3595,4034,
2434,3595,3706,
2435,3595,3972,
2436,3595,3659,
2436,3681,3716,
2437,3595,3970,
2437,3995,4034,
2438,3595,3720,
2441,3606,3613,
2459,3656,3682,
2467,3672,3864,
2478,3696,3743,
2491,3722,4009,
2501,3747,3769,
2504,3752,3890,
2506,3765,3770,
2591,3870,4034,
2617,3898,3991,
2673,3969,3976,
2673,4008,4034,
2675,3970,3988,
2675,4004,4024,
2678,3974,3986,
2698,3996,4034,
2723,4027,4034,
5,1,138,team_white
267,387,410,team_blue
179,430,494,team_blue
145,241,529,team_white
280,404,529,team_white
362,695,735,team_blue
549,828,862,team_white
589,891,927,team_white
573,857,944,team_white
594,914,1186,team_white
584,1133,1381,team_blue
854,1353,1391,team_white
821,1252,1406,team_white
935,1454,1512,team_blue
1160,1808,1839,team_white
1129,1843,1868,team_blue
1248,1941,1983,team_blue
897,1406,1993,team_white
1288,2015,2064,team_blue
1311,2053,2185,team_white
1129,2120,2204,team_blue
1358,2125,2241,team_blue
1424,2253,2339,team_blue
1472,2341,2381,team_white
1431,2278,2402,team_blue
1513,2402,2514,team_blue
1113,1739,2562,team_white
1645,2540,2570,team_blue
1497,2374,2608,team_white
1398,2191,2620,team_white
1579,2534,2620,team_blue
1656,2579,2620,team_white
1658,2584,2620,team_white
1570,2601,2620,team_blue
1670,2609,2636,team_white
1693,2629,2658,team_blue
1656,2659,2676,team_blue
1684,2622,2688,team_blue
1724,2676,2716,team_blue
1681,2622,2717,team_white
1687,2738,2770,team_blue
1702,2638,2778,team_white
1736,2696,2782,team_blue
1800,2782,2821,team_blue
1682,2622,2878,team_white
1840,2834,2891,team_white
1497,2621,2896,team_blue
1658,2717,2915,team_blue
1916,2911,2964,team_blue
1682,2890,2976,team_white
1658,2968,3008,team_blue
1884,2881,3024,team_white
1858,3014,3029,team_blue
1934,2962,3037,team_white
1957,3025,3058,team_white
1758,2731,3065,team_white
1793,2776,3065,team_blue
1975,3027,3065,team_white
1983,3032,3065,team_blue
1997,3045,3065,team_blue
2041,3092,3110,team_white
2056,3122,3152,team_white
2072,3134,3157,team_white
2017,3067,3174,team_blue
2015,3067,3235,team_white
2016,3067,3238,team_blue
2012,3067,3307,team_white
2013,3137,3314,team_white
2204,3301,3370,team_white
2280,3404,3419,team_white
2014,3067,3425,team_white
2107,3182,3439,team_blue
2299,3430,3500,team_blue
2317,3444,3581,team_white
2102,3236,3593,team_blue
2083,3243,3593,team_blue
2214,3310,3593,team_white
2296,3427,3593,team_white
2381,3517,3593,team_blue
2436,3595,3659,team_blue
2459,3656,3682,team_white
2434,3595,3706,team_white
2436,3681,3716,team_white
2438,3595,3720,team_blue
2478,3696,3743,team_white
2501,3747,3769,team_blue
2467,3672,3864,team_blue
2504,3752,3890,team_blue
2437,3595,3970,team_blue
2435,3595,3972,team_white
2675,3970,3988,team_blue
